date,vwretd,ewretd,sprtrn
1991-11-15,-0.034069,-0.019151,-0.036586
1991-11-18,0.005141,-0.003085,0.006848
1991-11-19,-0.015426,-0.017609,-0.015108
1991-11-20,-0.001212,0.006671,-0.002346
1991-11-21,0.004238,0.005409,0.004042
1991-11-22,-0.009163,-0.004931,-0.010314
1991-11-25,-0.003025,-0.003854,-0.002127
1991-11-26,0.004763,-0.001629,0.00698
1991-11-27,-0.001972,0.000868,-0.003731
1991-11-29,-0.001413,0.004865,-0.003532
1991-12-02,0.013489,-0.002884,0.01647
1991-12-03,0.000811,0.000549,-0.001154
1991-12-04,-0.001293,0.0009,-0.002336
1991-12-05,-0.005039,-0.002601,-0.007051
1991-12-06,0.003774,0.002624,0.004531
1991-12-09,-0.002034,-0.00542,-0.002216
1991-12-10,-0.001235,-0.005686,-0.000952
1991-12-11,-0.002004,-0.00419,-0.000529
1991-12-12,0.00872,0.005165,0.010193
1991-12-13,0.007073,0.007142,0.007653
1991-12-16,0.001531,0.001787,-2.6e-05
1991-12-17,-0.004858,-0.005526,-0.004474
1991-12-18,0.001109,-0.001197,0.001933
1991-12-19,-0.003845,-0.00247,-0.002503
1991-12-20,0.009688,0.001757,0.011816
1991-12-23,0.022189,0.009023,0.025269
1991-12-24,0.00817,0.008913,0.006325
1991-12-26,0.013938,0.01079,0.013798
1991-12-27,0.006093,0.007241,0.004002
1991-12-30,0.020303,0.012477,0.021355
1991-12-31,0.006064,0.015295,0.004697
1992-01-02,-0.000592,0.011374,0.000408
1992-01-03,0.005579,0.011236,0.004985
1992-01-06,1.8e-05,0.010594,-0.003291
1992-01-07,0.000525,0.007992,-0.00134
1992-01-08,0.003954,0.009794,0.001677
1992-01-09,0.002775,0.013328,-0.001172
1992-01-10,-0.005939,0.001929,-0.00601
1992-01-13,-0.000875,0.004934,-0.001831
1992-01-14,0.013024,0.012941,0.014722
1992-01-15,0.002916,0.011521,0.000785
1992-01-16,-0.005337,0.006103,-0.006084
1992-01-17,0.001255,0.007406,0.001554
1992-01-20,-0.005989,0.004745,-0.005969
1992-01-21,-0.011051,-0.007654,-0.008935
1992-01-22,0.013444,0.010411,0.013305
1992-01-23,-0.004011,0.004636,-0.007581
1992-01-24,0.001265,0.006622,0.001253
1992-01-27,-0.001468,0.005063,-0.001179
