permno,ticker,comnam
22840,HSH,HILLSHIRE BRANDS CO
22859,DPL,D P L INC
22875,,FIRTH CARPET CO
22891,MST,MERCANTILE STORES INC
22920,ITC,INGREDIENT TECHNOLOGY CORP
22939,CANT,CANTEEN CORP
22947,CIN,CINERGY CORP
22976,WBD,WARNER BROS DISCOVERY INC
23018,MAG,MAGNAVOX CO
23026,FE,FIRSTENERGY CORP
23050,RVS,REEVES BROTHERS INC
23077,HNZ,HEINZ H J CO
23085,SCG,SCANA CORP NEW
23114,PGN,PROGRESS ENERGY INC
23130,FN,ST LOUIS SAN FRANCISCO RY CO
23165,,LEES JAMES & SONS CO
23173,,MARATHON CORP
23210,CVX,CLEVELAND ELECTRIC ILLUM CO
23229,CMS,C M S ENERGY CORP
23237,DGR,DENVER & RIO GRANDE WESTN RR CO
23253,GRL,GENERAL INSTRUMENT CORP
23288,WELB,WELBILT CORP
23296,BEM,BEAUNIT CORP
23309,HLT,HILTON HOTELS CORP
23317,ENE,ENRON CORP
23318,CHIR,CHIRON CORP
23325,SRT,ST REGIS CORP
23341,ACY,AMERICAN CYANAMID CO
23384,JAEG,JAEGER MACHINE CO
23393,CHD,CHURCH & DWIGHT INC
23421,STN,STEVENS J P & CO INC
23448,VEL,VIRGINIA ELECTRIC & POWER CO
23456,DCO,DIVCO WAYNE CORP
23464,GPT,GENERAL PORTLAND INC
23473,CINF,CINCINNATI FINANCIAL CORP
23480,HKR,HOOKER CHEMICAL CORP
